Tau                 Error               EOC                 
0.1                 0.00280039                              
0.05                0.000763438         1.87505             
0.025               0.000154921         2.30098             
0.0125              2.29212e-05         2.75678             
0.00625             3.11024e-06         2.88158             
0.003125            4.39083e-07         2.82446             
0.0015625           1.01298e-07         2.11588             
0.00078125          1.11014e-08         3.1898              
0.000390625         1.31348e-09         3.07927             
0.000195313         5.51325e-10         1.25242             
9.76563e-05         3.5161e-10          0.648929            
4.88281e-05         1.50797e-09         -2.10056            
2.44141e-05         1.32136e-09         0.190593            
