Tau                 Error               EOC                 
0.1                 0.396107                                
0.05                0.055257            2.84166             
0.025               0.0117679           2.2313              
0.0125              0.00310423          1.92255             
0.00625             0.00154073          1.01062             
0.003125            0.000768528         1.00345             
0.0015625           0.000383855         1.00154             
0.00078125          0.00019183          1.00073             
0.000390625         9.58911e-05         1.00036             
0.000195313         4.79397e-05         1.00018             
9.76563e-05         2.39684e-05         1.00009             
4.88281e-05         1.19838e-05         1.00004             
2.44141e-05         5.99181e-06         1.00002             
