Tau                 Error               EOC                 
0.1                 0.209799                                
0.05                0.0725915           1.53113             
0.025               0.0203657           1.83366             
0.0125              0.00526197          1.95247             
0.00625             0.0013267           1.98777             
0.003125            0.000332424         1.99674             
0.0015625           8.31018e-05         2.00008             
0.00078125          2.07828e-05         1.99949             
0.000390625         5.19649e-06         1.99978             
0.000195313         1.29881e-06         2.00035             
9.76563e-05         3.24474e-07         2.00101             
4.88281e-05         8.2711e-08          1.97195             
2.44141e-05         2.16242e-08         1.93543             
